内蒙古电信-组播1,#genre#
额尔古纳,http://123.179.61.252:4022/rtp/239.29.1.132:5000
和林格尔,http://123.179.61.252:4022/rtp/239.29.0.183:5000
克什克腾旗,http://123.179.61.252:4022/rtp/239.29.1.110:5000
内蒙古购物,http://123.179.61.252:4022/rtp/239.29.0.1:5000
IPTV3综艺,http://123.179.61.252:4022/rtp/239.29.1.18:5001
IPTV5体育,http://123.179.61.252:4022/rtp/239.29.1.10:5001
IPTV6华数电影,http://123.179.61.252:4022/rtp/239.29.1.20:5001
IPTV8电视剧,http://123.179.61.252:4022/rtp/239.29.1.21:5001
内蒙古频道八分屏,http://123.179.61.252:4022/rtp/239.29.1.118:5000
十分屏1,http://123.179.61.252:4022/rtp/239.29.1.119:5000
十分屏2,http://123.179.61.252:4022/rtp/239.29.1.117:5000
十分屏3,http://123.179.61.252:4022/rtp/239.29.1.116:5000
内蒙古电信-组播3,#genre#
