北京联通-组播1,#genre#
北京国际频道,http://114.254.34.19:18888/rtp/239.3.1.235:8000
湖南卫视,http://114.254.34.19:18888/rtp/239.3.1.132:8012
江苏卫视,http://114.254.34.19:18888/rtp/239.3.1.135:8028
东方卫视,http://114.254.34.19:18888/rtp/239.3.1.136:8032
浙江卫视,http://114.254.34.19:18888/rtp/239.3.1.137:8036
湖北卫视,http://114.254.34.19:18888/rtp/239.3.1.138:8044
天津卫视,http://114.254.34.19:18888/rtp/239.3.1.141:1234
山东卫视,http://114.254.34.19:18888/rtp/239.3.1.209:8052
辽宁卫视,http://114.254.34.19:18888/rtp/239.3.1.210:8056
安徽卫视,http://114.254.34.19:18888/rtp/239.3.1.211:8064
黑龙江卫视,http://114.254.34.19:18888/rtp/239.3.1.133:8016
贵州卫视,http://114.254.34.19:18888/rtp/239.3.1.149:8076
东南卫视,http://114.254.34.19:18888/rtp/239.3.1.156:8148
重庆卫视,http://114.254.34.19:18888/rtp/239.3.1.122:8160
江西卫视,http://114.254.34.19:18888/rtp/239.3.1.123:8164
河南卫视,http://114.254.34.19:18888/rtp/239.3.1.50:8184
甘肃卫视,http://114.254.34.19:18888/rtp/239.3.1.201:8180
西藏卫视,http://114.254.34.19:18888/rtp/239.3.1.166:8188
新疆卫视,http://114.254.34.19:18888/rtp/239.3.1.167:8192
宁夏卫视,http://114.254.34.19:18888/rtp/239.3.1.169:8212
广东卫视,http://114.254.34.19:18888/rtp/239.3.1.142:8048
河北卫视,http://114.254.34.19:18888/rtp/239.3.1.148:8072
深圳卫视,http://114.254.34.19:18888/rtp/239.3.1.134:8020
中国教育1台,http://114.254.34.19:18888/rtp/239.3.1.57:8152
金鹰纪实,http://114.254.34.19:18888/rtp/239.3.1.58:8156
吉林卫视,http://114.254.34.19:18888/rtp/239.3.1.240:8172
中国交通,http://114.254.34.19:18888/rtp/239.3.1.188:8001
北京卫视4K,http://114.254.34.19:18888/rtp/239.3.1.22:8001
北京卫视4K,http://114.254.34.19:18888/rtp/239.3.1.118:8001
北京IPTV4K超清,http://114.254.34.19:18888/rtp/239.3.1.249:8001
CCTV 4K,http://114.254.34.19:18888/rtp/239.3.1.244:2000
CCTV 4K,http://114.254.34.19:18888/rtp/239.3.1.245:2000
爱上4K,http://114.254.34.19:18888/rtp/239.3.1.236:2000
湖南卫视4K,http://114.254.34.19:18888/rtp/239.3.1.112:3002
广东卫视4K,http://114.254.34.19:18888/rtp/239.3.1.203:2000
江苏卫视4K,http://114.254.34.19:18888/rtp/239.3.1.113:3003
深圳卫视4K,http://114.254.34.19:18888/rtp/239.3.1.202:2000
东方卫视4K,http://114.254.34.19:18888/rtp/239.3.1.119:3006
浙江卫视4K,http://114.254.34.19:18888/rtp/239.3.1.114:3004
山东卫视4K,http://114.254.34.19:18888/rtp/239.3.1.144:3005
四川卫视4K,http://114.254.34.19:18888/rtp/239.3.1.131:3001
VBR测试-1,http://114.254.34.19:18888/rtp/239.3.1.139:8001
VBR测试-2,http://114.254.34.19:18888/rtp/239.3.1.140:8001
朝阳融媒,http://114.254.34.19:18888/rtp/239.3.1.163:8001
密云电视台,http://114.254.34.19:18888/rtp/239.3.1.154:8001
房山电视台,http://114.254.34.19:18888/rtp/239.3.1.96:8001
通州融媒,http://114.254.34.19:18888/rtp/239.3.1.221:8001
延庆电视台,http://114.254.34.19:18888/rtp/239.3.1.187:8001
聚鲨环球,http://114.254.34.19:18888/rtp/239.3.1.179:8001
央广购物,http://114.254.34.19:18888/rtp/239.3.1.222:8001
家有购物,http://114.254.34.19:18888/rtp/239.3.1.186:8001
优购物,http://114.254.34.19:18888/rtp/239.3.1.180:8001
时尚购物,http://114.254.34.19:18888/rtp/239.3.1.181:8001
家有购物,http://114.254.34.19:18888/rtp/239.3.1.185:8001
央广购物,http://114.254.34.19:18888/rtp/239.3.1.223:8001
萌宠TV,http://114.254.34.19:18888/rtp/239.3.1.102:8001
