山西联通-组播1,#genre#
海南卫视,http://61.240.39.165:8082/rtp/226.0.2.212:9608
湖南金鹰纪实,http://61.240.39.165:8082/rtp/226.0.2.194:9464
湖南金鹰卡通,http://61.240.39.165:8082/rtp/226.0.2.172:9288
上海纪实人文,http://61.240.39.165:8082/rtp/226.0.2.193:9456
上海动漫秀场,http://61.240.39.165:8082/rtp/226.0.2.183:9376
上海都市剧场,http://61.240.39.165:8082/rtp/226.0.2.81:8560
上海法治天地,http://61.240.39.165:8082/rtp/226.0.2.83:8576
上海东方财经,http://61.240.39.165:8082/rtp/226.0.2.76:8520
上海乐游纪实,http://61.240.39.165:8082/rtp/226.0.2.77:8528
上海游戏风云,http://61.240.39.165:8082/rtp/226.0.2.78:8536
上海生活时尚,http://61.240.39.165:8082/rtp/226.0.2.84:8584
上海金色学堂,http://61.240.39.165:8082/rtp/226.0.2.182:9368
河南文物宝库,http://61.240.39.165:8082/rtp/226.0.2.110:8792
河南梨园频道,http://61.240.39.165:8082/rtp/226.0.2.115:8832
河南武术世界,http://61.240.39.165:8082/rtp/226.0.2.97:8688
CETV1,http://61.240.39.165:8082/rtp/226.0.2.181:9360
CETV早期教育,http://61.240.39.165:8082/rtp/226.0.2.99:8704
中国天气,http://61.240.39.165:8082/rtp/226.0.2.103:8736
清徐,http://61.240.39.165:8082/rtp/226.0.2.191:9440
朔州-1,http://61.240.39.165:8082/rtp/226.0.2.185:9392
朔州-2,http://61.240.39.165:8082/rtp/226.0.2.186:9400
孝义电视台,http://61.240.39.165:8082/rtp/226.0.2.189:9424
古交电视台,http://61.240.39.165:8082/rtp/226.0.2.192:9448
阳曲,http://61.240.39.165:8082/rtp/226.0.2.196:9480
九屏测试,http://61.240.39.165:8082/rtp/226.0.2.197:9488
太原1,http://61.240.39.165:8082/rtp/226.0.2.201:9520
太原2,http://61.240.39.165:8082/rtp/226.0.2.202:9528
太原3,http://61.240.39.165:8082/rtp/226.0.2.203:9536
太原4,http://61.240.39.165:8082/rtp/226.0.2.204:9544
太原5,http://61.240.39.165:8082/rtp/226.0.2.205:9552
太原教育,http://61.240.39.165:8082/rtp/226.0.2.206:9560
晋能控股,http://61.240.39.165:8082/rtp/226.0.2.229:9744
大同教育,http://61.240.39.165:8082/rtp/226.0.2.232:9772
阳泉-1新闻综合,http://61.240.39.165:8082/rtp/226.0.2.233:9776
阳泉-2科教,http://61.240.39.165:8082/rtp/226.0.2.234:9784
