湖南电信,#genre#
湖南卫视FHD,http:///udp/239.76.245.115:1234
湖南经视FHD,http:///udp/239.76.245.116:1234
湖南都市FHD,http:///udp/239.76.245.117:1234
湖南电视剧FHD,http:///udp/239.76.245.118:1234
湖南电影FHD,http:///udp/239.76.245.119:1234
湖南娱乐FHD,http:///udp/239.76.245.121:1234
湖南国际FHD,http:///udp/239.76.245.124:1234
湖南公共FHD,http:///udp/239.76.245.123:1234
CCTV1,http:///udp/239.76.245.51:1234
CCTV1,http:///udp/239.76.246.151:1234
CCTV2,http:///udp/239.76.246.152:1234
CCTV3,http:///udp/239.76.246.153:1234
CCTV4,http:///udp/239.76.245.195:1234
CCTV4,http:///udp/239.76.246.154:1234
CCTV5,http:///udp/239.76.246.155:1234
CCTV5+,http:///udp/239.76.246.168:1234
CCTV6,http:///udp/239.76.246.156:1234
CCTV7,http:///udp/239.76.246.157:1234
CCTV8,http:///udp/239.76.246.158:1234
CCTV9,http:///udp/239.76.246.159:1234
CCTV10,http:///udp/239.76.246.160:1234
CCTV11,http:///udp/239.76.245.251:1234
CCTV12,http:///udp/239.76.246.162:1234
CCTV13,http:///udp/239.76.246.93:1234
CCTV14,http:///udp/239.76.246.164:1234
CCTV15,http:///udp/239.76.245.252:1234
CCTV16,http:///udp/239.76.246.98:1234
CCTV17,http:///udp/239.76.245.238:1234
CCTV16 4K,http:///udp/239.76.246.214:1234
CCTV16 4k,http:///udp/239.76.246.224:1234
CCTV16 4kR,http:///udp/239.76.246.230:1234
第一剧场,http:///udp/239.76.254.49:9000
风云足球,http:///udp/239.76.254.52:9000
风云音乐,http:///udp/239.76.254.51:9000
风云剧场,http:///udp/239.76.254.50:9000
女姓时尚,http:///udp/239.76.254.55:9000
文化精品,http:///udp/239.76.254.56:9000
世界地理,http:///udp/239.76.254.57:9000
兵器科技,http:///udp/239.76.254.59:9000
央视台球,http:///udp/239.76.254.58:9000
怀旧剧场,http:///udp/239.76.254.53:9000
电视指南,http:///udp/239.76.254.61:9000
高尔夫,http:///udp/239.76.254.62:9000
CCTV4欧洲,http:///udp/239.76.246.95:1234
CCTV4美洲,http:///udp/239.76.246.96:1234
CGTN英语,http:///udp/239.76.245.67:1234
CGTN记录,http:///udp/239.76.245.66:1234
CGTN俄语,http:///udp/239.76.246.86:1234
CGTN法语,http:///udp/239.76.246.87:1234
CGTN西班牙语,http:///udp/239.76.246.88:1234
广东卫视,http:///udp/239.76.245.189:1234
东南卫视,http:///udp/239.76.245.190:1234
安徽卫视,http:///udp/239.76.245.196:1234
辽宁卫视,http:///udp/239.76.245.197:1234
江西卫视,http:///udp/239.76.245.225:1234
河北卫视,http:///udp/239.76.245.199:1234
贵州卫视,http:///udp/239.76.245.198:1234
江苏卫视,http:///udp/239.76.246.181:1234
东方卫视,http:///udp/239.76.246.186:1234
浙江卫视,http:///udp/239.76.246.182:1234
北京卫视,http:///udp/239.76.246.184:1234
天津卫视,http:///udp/239.76.246.185:1234
深圳卫视,http:///udp/239.76.246.188:1234
湖北卫视,http:///udp/239.76.246.193:1234
山东卫视,http:///udp/239.76.246.195:1234
黑龙江卫视,http:///udp/239.76.246.200:1234
吉林卫视,http:///udp/239.76.246.201:1234
河南卫视,http:///udp/239.76.246.202:1234
海南卫视,http:///udp/239.76.246.203:1234
四川卫视,http:///udp/239.76.246.91:1234
重庆卫视,http:///udp/239.76.246.92:1234
甘肃卫视,http:///udp/239.76.246.94:1234
中国教育1,http:///udp/239.76.245.192:1234
芒果乐搜,http:///udp/239.76.245.200:1234
芒果乐活,http:///udp/239.76.245.201:1234
长沙女姓,http:///udp/239.76.245.23:1234
长沙影视,http:///udp/239.76.245.204:1234
湘西综合,http:///udp/239.76.245.208:1234
湘西综合,http:///udp/239.76.245.209:1234
河南梨园,http:///udp/239.76.245.179:1234
文物宝库,http:///udp/239.76.245.180:1234
武术世界,http:///udp/239.76.245.181:1234
IPTV高清院线,http:///udp/239.76.245.217:1234
芒果乐淘,http:///udp/239.76.245.215:1234
IPTV抗战剧场,http:///udp/239.76.245.218:1234
IPTV古装剧场,http:///udp/239.76.245.219:1234
IPTV经典剧场,http:///udp/239.76.245.221:1234
IPTV家庭剧场,http:///udp/239.76.245.220:1234
IPTV广场舞,http:///udp/239.76.245.134:1234
IPTV4k,http:///udp/239.76.245.35:1234
IPTV电竞,http:///udp/239.76.245.136:1234
体育,http:///udp/239.76.246.136:1234
金鹰卡通FHD,http:///udp/239.76.245.120:1234
金鹰纪实FHD,http:///udp/239.76.245.122:1234
快乐垂钓FHD,http:///udp/239.76.245.127:1234
湖南教育,http:///udp/239.76.245.233:1234
茶频道,http:///udp/239.76.245.239:1234
张家界2,http:///udp/239.76.245.235:1234
张家界综合,http:///udp/239.76.245.234:1234
CHC动作电影,http:///udp/239.76.245.243:1234
CHC高清电影,http:///udp/239.76.245.242:1234
CHC家庭影院,http:///udp/239.76.245.241:1234
快乐垂钓,http:///udp/239.76.246.5:1234
IPTV故事频道,http:///udp/239.76.246.41:1234
IPTV戏曲频道,http:///udp/239.76.246.40:1234
IPTV健康之路,http:///udp/239.76.246.42:1234
CGTN阿拉伯语,http:///udp/239.76.246.97:1234
长沙政法,http:///udp/239.76.246.122:1234
长沙新闻,http:///udp/239.76.246.121:1234
IPTV芒果互娱,http:///udp/239.76.246.126:1234
健康电视,http:///udp/239.76.246.127:1234
欢笑剧场4K,http:///udp/239.76.246.130:1234
都市剧场,http:///udp/239.76.246.215:1234
极速汽车,http:///udp/239.76.246.133:1234
动漫秀场,http:///udp/239.76.246.131:1234
游戏风云,http:///udp/239.76.246.132:1234
体育,http:///udp/239.76.253.136:9000
全纪实,http:///udp/239.76.246.137:1234
法治天地,http:///udp/239.76.246.138:1234
生活时尚,http:///udp/239.76.246.223:1234
浏阳,http:///udp/239.76.248.6:1234
常德综合,http:///udp/239.76.248.10:1234
常德公共,http:///udp/239.76.248.11:1234
衡阳综合,http:///udp/239.76.248.13:1234
衡阳公共,http:///udp/239.76.248.14:1234
娄底综合,http:///udp/239.76.248.18:1234
娄底公共,http:///udp/239.76.248.19:1234
LDETV,http:///udp/239.76.248.20:1234
XNXTV,http:///udp/239.76.248.21:1234
邵阳新闻,http:///udp/239.76.248.23:1234
永州新闻,http:///udp/239.76.248.57:1234
湖南卫视,http:///udp/239.76.253.101:9000
湖南国际,http:///udp/239.76.253.102:9000
湖南卫视FHD,http:///udp/239.76.253.100:9000
湖南经视,http:///udp/239.76.253.103:9000
湖南都市,http:///udp/239.76.253.104:9000
湖南娱乐,http:///udp/239.76.253.105:9000
湖南电影,http:///udp/239.76.253.106:9000
湖南电视剧,http:///udp/239.76.253.108:9000
金鹰卡通,http:///udp/239.76.253.107:9000
湖南公共,http:///udp/239.76.253.109:9000
金鹰纪实,http:///udp/239.76.253.110:9000
湖南卫视FHD,http:///udp/239.76.252.115:9000
湖南经视,http:///udp/239.76.252.116:9000
湖南电视剧,http:///udp/239.76.252.118:9000
湖南电影,http:///udp/239.76.252.119:9000
金鹰卡通,http:///udp/239.76.252.120:9000
湖南公共,http:///udp/239.76.252.123:9000
湖南娱乐,http:///udp/239.76.252.121:9000
金鹰纪实,http:///udp/239.76.252.122:9000
湖南国际,http:///udp/239.76.252.124:9000
湖南都市,http:///udp/239.76.252.117:9000
CCTV1,http:///udp/239.76.253.151:9000
CCTV2,http:///udp/239.76.253.152:9000
CCTV3,http:///udp/239.76.253.153:9000
CCTV4,http:///udp/239.76.253.154:9000
CCTV5,http:///udp/239.76.253.155:9000
CCTV5+,http:///udp/239.76.253.168:9000
CCTV6,http:///udp/239.76.253.156:9000
